codice;denominazione;ubicazione;comune;coordinata_x;coordinata_y;latitudine;longitudine;codice_zona
70606;PORRETTA COLLEGIO ALBERGA;VIA PRIMO MAGGIO INGRESSO PIAZZA SMERALD;PORRETTA TERME;657825;891801;44,160599;10,972794;573
70607;PORRETTA BIVIO CASTELLUCC;VIA MAZZINI 145;PORRETTA TERME;658009;891615;44,158886;10,975038;573
70608;PORRETTA BIVIO CASTELLUCC;VIA MAZZINI 158;PORRETTA TERME;658045;891608;44,158815;10,975486;573
70614;PORRETTA VITTORIO VENETO;PIAZZA VITTORIO VENETO 10;PORRETTA TERME;658103;891256;44,155635;10,976105;573
70703;PORRETTA ROMA;VIA ROMA 16;PORRETTA TERME;658196;891036;44,153636;10,977201;573
70704;PORRETTA ROMA;VIA ROMA FR 24;PORRETTA TERME;658217;891014;44,153433;10,977457;573
70705;PORRETTA - LE TERME;VIA ROMA FR HOTEL SANTOLI;PORRETTA TERME;658486;890802;44,151467;10,980755;573
70706;PORRETTA - LE TERME;VIA ROMA LATO HOTEL SANTOLI;PORRETTA TERME;658490;890811;44,151548;10,980808;573
70709;CASA GARDELLA;VIA ROMA 12;GRANAGLIONE;658697;890339;44,147256;10,983252;573
70710;CASA GARDELLA;VIA ROMA FR. 12;GRANAGLIONE;658707;890341;44,147271;10,983378;573
70713;CASA CIABATTA;VIA NAZIONALE 195;GRANAGLIONE;658950;889989;44,144051;10,986308;573
70714;CASA CIABATTA;VIA NAZIONALE FR. 193;GRANAGLIONE;658961;889991;44,144067;10,986446;573
70717;PONTE VENTURINA BIVIO GRA;VIA NAZIONALE FR 152;GRANAGLIONE;659093;889805;44,142365;10,98804;573
70718;PONTE VENTURINA BIVIO GRA;VIA NAZIONALE 152;GRANAGLIONE;659096;889812;44,142427;10,988079;573
70719;VALDOPPIO I;VIA VALDOPPIO 8;VALDOPPIO;659205;889550;44,140046;10,989362;574
70721;PONTE VENTURINA RISTORANT;VIA NAZIONALE 175;VALDOPPIO;659297;889460;44,139216;10,990484;574
70722;PONTE VENTURINA RISTORANT;VIA NAZIONALE FR 173;VALDOPPIO;659309;889463;44,13924;10,990635;574
70723;VALDOPPIO II;VIA VALDOPPIO 18;GRANAGLIONE;659138;889540;44,139971;10,988522;574
70725;CASA RINGHINO;VIA NAZIONALE 125-127;PONTE DELLA VENTURINA;659223;889043;44,13548;10,989434;574
