codice;denominazione;ubicazione;comune;coordinata_x;coordinata_y;latitudine;longitudine;codice_zona
1;STAZIONE CENTRALE;PIAZZA MEDAGLIE D`ORO (PENSILINA C);BOLOGNA;686344;930918;44,505762;11,343174;500
2;STAZIONE CENTRALE;VIALE PIETRAMELLARA 51 (FERMATA F);BOLOGNA;686297;930848;44,505145;11,342558;500
3;STAZIONE CENTRALE;PIAZZA MEDAGLIE D`ORO (PENSILINA A);BOLOGNA;686394;930884;44,505444;11,34379;500
4;STAZIONE CENTRALE;VIALE PIETRAMELLARA 53 (FERMATA G);BOLOGNA;686341;930838;44,505044;11,343108;500
5;STAZIONE CENTRALE;PIAZZA MEDAGLIE D`ORO (PENSILINA B);BOLOGNA;686386;930910;44,50568;11,343699;500
6;STAZIONE CENTRALE;VIALE PIETRAMELLARA 63 (FERMATA H);BOLOGNA;686395;930827;44,504931;11,343782;500
7;STAZIONE CENTRALE;PIAZZA MEDAGLIE D`ORO (PENSILINA D);BOLOGNA;686322;930912;44,505714;11,342895;500
8;STAZIONE CENTRALE;VIALE PIETRAMELLARA (PENSILINA M);BOLOGNA;686464;930822;44,504868;11,344648;500
9;STAZIONE CENTRALE;PIAZZA MEDAGLIE D`ORO (PENSILINA E);BOLOGNA;686311;930872;44,505357;11,342743;500
10;PORTA GALLIERA;VIALE MASINI FR 4;BOLOGNA;686604;930779;44,504445;11,346392;500
11;PORTA GALLIERA;VIALE MASINI 4/2;BOLOGNA;686672;930786;44,50449;11,347249;500
12;BORGO;VIALE MASINI 5/3;BOLOGNA;686990;930603;44,502762;11,35118;500
13;BORGO;VIALE MASINI 58;BOLOGNA;686996;930630;44,503003;11,351265;500
14;PORTA MASCARELLA;VIALE BERTI PICHAT 1;BOLOGNA;687196;930499;44,501773;11,353732;500
16;STAZIONE CENTRALE;VIALE PIETRAMELLARA 59 (FERMATA J);BOLOGNA;686362;930834;44,505002;11,34337;500
17;PORTA MASCARELLA;VIALE BERTI PICHAT 2/B;BOLOGNA;687258;930502;44,501784;11,354512;500
18;PORTA SAN DONATO;VIALE FILOPANTI 1;BOLOGNA;687431;930038;44,497565;11,356518;500
19;PORTA SAN DONATO;VIALE BERTI PICHAT 30;BOLOGNA;687437;930211;44,49912;11,356656;500
20;PORTA SAN VITALE;VIALE FILOPANTI 11;BOLOGNA;687470;929700;44,494515;11,356886;500
21;FILOPANTI;VIALE FILOPANTI PALO LUCE 398;BOLOGNA;687483;929806;44,495465;11,357088;500
22;PORTA MAGGIORE;VIALE ERCOLANI FR 4/2;BOLOGNA;687498;929408;44,491881;11,357132;500
25;PORTA SAN VITALE;VIALE ERCOLANI FR 3;BOLOGNA;687514;929517;44,492857;11,357372;500
26;CARDUCCI;VIALE CARDUCCI 9;BOLOGNA;687565;928830;44,486665;11,357764;500
27;PORTA MAGGIORE;VIALE ERCOLANI 6;BOLOGNA;687541;929307;44,490961;11,357636;500
28;PORTA SANTO STEFANO;VIALE GOZZADINI 1;BOLOGNA;687372;928603;44,484673;11,355257;500
29;CARDUCCI;VIALE CARDUCCI 30;BOLOGNA;687572;929004;44,488228;11,357915;500
30;GIARDINI MARGHERITA;VIALE GOZZADINI 5;BOLOGNA;687144;928633;44,485002;11,352403;500
33;PORTA SANTO STEFANO;VIALE CARDUCCI 52;BOLOGNA;687519;928642;44,484985;11,357118;500
34;PORTA CASTIGLIONE;VIALE GOZZADINI 21;BOLOGNA;686898;928667;44,485371;11,349324;500
35;GIARDINI MARGHERITA;VIALE GOZZADINI FR 5;BOLOGNA;687143;928609;44,484786;11,352382;500
36;PARCHEGGIO STAVECO;VIALE PANZACCHI 9;BOLOGNA;686464;928727;44,486023;11,343892;500
37;PORTA CASTIGLIONE;PORTA CASTIGLIONE 14;BOLOGNA;686874;928638;44,485117;11,349012;500
38;PORTA SAN MAMOLO;VIALE ALDINI FR 2/F;BOLOGNA;686013;928826;44,48703;11,338261;500
41;PARCHEGGIO STAVECO;VIALE PANZACCHI 10;BOLOGNA;686555;928690;44,485667;11,345023;500
42;ALDINI;VIALE ALDINI 19;BOLOGNA;685693;928987;44,48856;11,334298;500
43;PORTA SAN MAMOLO;VIALE PANZACCHI FR 25;BOLOGNA;686222;928732;44,48613;11,340853;500
44;PORTA SARAGOZZA - VILLA C;VIALE ALDINI FR 228;BOLOGNA;685377;929149;44,490099;11,330385;500
45;PETRARCA;VIALE ALDINI 118;BOLOGNA;685818;928892;44,487674;11,335834;500
46;PORTA SARAGOZZA - LICEO R;VIALE PEPOLI FR 56;BOLOGNA;685287;929378;44,492182;11,329336;500
47;PORTA SARAGOZZA - VILLA C;VIALE ALDINI 232;BOLOGNA;685368;929108;44,489732;11,330257;500
49;ALDINI;VIALE ALDINI 190;BOLOGNA;685638;928987;44,488574;11,333607;500
50;PORTA SANT`ISAIA;VIALE VICINI FR 6;BOLOGNA;685193;929748;44,495534;11,328287;500
51;PORTA SARAGOZZA - LICEO R;VIALE PEPOLI 20;BOLOGNA;685277;929305;44,491528;11,329184;500
52;PORTA SAN FELICE;VIALE SILVANI 3;BOLOGNA;685166;930223;44,499814;11,328118;500
53;PORTA SANT`ISAIA;VIALE PEPOLI 74;BOLOGNA;685216;929519;44,493468;11,328494;500
54;PORTA LAME;VIALE SILVANI 11/E;BOLOGNA;685468;930448;44,50176;11,331994;500
57;PORTA SANT`ISAIA;VIALE VICINI 6/2;BOLOGNA;685167;929725;44,495334;11,327952;500
59;VICINI;VIALE VICINI 28;BOLOGNA;685131;929859;44,496548;11,327548;500
61;PORTA SAN FELICE;VIALE VICINI FR 21;BOLOGNA;685081;930065;44,498414;11,326993;500
65;SILVANI;VIALE SILVANI 6;BOLOGNA;685230;930306;44,500544;11,328952;500
67;PORTA LAME;VIALE PIETRAMELLARA 2;BOLOGNA;685600;930583;44,502941;11,333702;500
100;PIAZZA MAGGIORE;PIAZZA RE ENZO 1/3/B;BOLOGNA;686420;929654;44,494373;11,343674;500
104;RIZZOLI;VIA RIZZOLI 26/A;BOLOGNA;686521;929679;44,494572;11,344952;500
105;RIZZOLI;VIA RIZZOLI 5/B;BOLOGNA;686519;929666;44,494455;11,344922;500
108;PIAZZA MAGGIORE;PIAZZA MAGGIORE 3/E;BOLOGNA;686423;929567;44,49359;11,34368;500
109;RIZZOLI;VIA RIZZOLI 7/H;BOLOGNA;686605;929651;44,494298;11,345998;500
111;STRADA MAGGIORE;STRADA MAGGIORE 29;BOLOGNA;686949;929484;44,492707;11,35026;500
112;PIAZZA GALVANI;PIAZZA GALVANI 5;BOLOGNA;686395;929406;44,492149;11,34327;500
113;GARGANELLI;VIA GUERRAZZI 21;BOLOGNA;686994;929246;44,490555;11,35074;500
114;PIAZZA GALVANI;PIAZZA GALVANI FR5;BOLOGNA;686402;929396;44,492057;11,343355;500
117;TORLEONE;STRADA MAGGIORE 51/E;BOLOGNA;687335;929293;44,490889;11,355042;500
201;PIAZZA ALDROVANDI;PIAZZA ALDROVANDI 2;BOLOGNA;687060;929503;44,492849;11,351662;500
202;DUE TORRI;VIA SAN VITALE 20;BOLOGNA;686751;929681;44,49453;11,347843;500
204;SAN VITALE;VIA SAN VITALE 50;BOLOGNA;687001;929664;44,494313;11,350979;500
206;PORTA SAN VITALE;VIA SAN VITALE 108;BOLOGNA;687348;929652;44,494115;11,355335;500
208;PIAZZA DI PORTA RAVEGNANA;PIAZZA DI PORTA RAVEGNANA 2C;BOLOGNA;686660;929670;44,494455;11,346696;500
301;SFERISTERIO;VIA IRNERIO 11;BOLOGNA;686682;930337;44,500449;11,347213;500
302;SFERISTERIO;VIA IRNERIO FR 5/E;BOLOGNA;686643;930363;44,500693;11,346732;500
303;IRNERIO;VIA IRNERIO FR 20/C;BOLOGNA;686889;930270;44,499793;11,34979;500
304;IRNERIO;VIA IRNERIO 18;BOLOGNA;686869;930292;44,499996;11,349547;500
305;PORTA SAN DONATO;VIA IRNERIO 57;BOLOGNA;687319;930131;44,498431;11,355144;500
306;PORTA SAN DONATO;VIA IRNERIO 46;BOLOGNA;687209;930182;44,498918;11,35378;500
331;RIGHI;VIA AUGUSTO RIGHI 3/A;BOLOGNA;686479;930168;44,498981;11,344601;500
333;OBERDAN;VIA OBERDAN 30/F;BOLOGNA;686618;930101;44,498343;11,346323;500
335;PIAZZA SAN MARTINO;VIA MARSALA 27;BOLOGNA;686652;929956;44,49703;11,346698;500
339;TEATRO COMUNALE;PIAZZA VERDI 4;BOLOGNA;686936;929860;44,496093;11,350233;500
352;DON MINZONI - MAMBO;VIA DON MINZONI 15;BOLOGNA;685826;930590;44,502945;11,336545;500
353;BOVI CAMPEGGI QUESTURA;VIA BOVI CAMPEGGI 19;BOLOGNA;685726;930855;44,505355;11,335383;500
354;BOVI CAMPEGGI QUESTURA;VIA BOVI CAMPEGGI FR 15;BOLOGNA;685714;930873;44,50552;11,335239;500
355;BOVI CAMPEGGI;VIA BOVI CAMPEGGI 7/2;BOLOGNA;685479;930896;44,505787;11,332293;500
356;BOVI CAMPEGGI;VIA BOVI CAMPEGGI 4 H-G-F;BOLOGNA;685445;930920;44,506012;11,331875;500
397;INDIPENDENZA MILLE;VIA INDIPENDENZA 66/68;BOLOGNA;686478;930542;44,502346;11,344723;500
399;AUTOSTAZIONE;VIA INDIPENDENZA 71 R (PENSILINA R);BOLOGNA;686504;930630;44,503131;11,345081;500
400;SAN PIETRO;VIA INDIPENDENZA 8/A;BOLOGNA;686343;929795;44,495661;11,342757;500
401;SAN PIETRO;VIA INDIPENDENZA FR 4;BOLOGNA;686350;929762;44,495362;11,342833;500
402;INDIPENDENZA;VIA INDIPENDENZA 12/C;BOLOGNA;686360;929904;44,496637;11,34301;500
403;INDIPENDENZA;VIA INDIPENDENZA 21;BOLOGNA;686384;929964;44,497171;11,343333;500
404;VIII AGOSTO;VIA INDIPENDENZA 56/B;BOLOGNA;686433;930312;44,500288;11,344074;500
405;VIII AGOSTO;VIA INDIPENDENZA 59;BOLOGNA;686453;930345;44,50058;11,344338;500
407;AUTOSTAZIONE;VIA INDIPENDENZA 71 V (PENSILINA Q);BOLOGNA;686508;930650;44,503309;11,345139;500
408;ARENA DEL SOLE;VIA INDIPENDENZA 44;BOLOGNA;686414;930205;44,499331;11,343797;500
410;AUTOSTAZIONE;PIAZZA XX SETTEMBRE FR 6 (PENSILINA N);BOLOGNA;686510;930755;44,504253;11,345202;500
411;AUTOSTAZIONE;PIAZZA XX SETTEMBRE (PENSILINA P);BOLOGNA;686520;930744;44,504152;11,345324;500
413;AUTOSTAZIONE;PIAZZA XX SETTEMBRE (PENSILINA O);BOLOGNA;686523;930764;44,504331;11,345369;500
449;PIAZZA DEI MARTIRI;PIAZZA DEI MARTIRI 1;BOLOGNA;686137;930476;44,50184;11,340413;500
451;MARCONI;VIA MARCONI 9;BOLOGNA;685936;929924;44,496926;11,337688;500
452;MARCONI;VIA MARCONI 16/F;BOLOGNA;685919;929938;44,497057;11,33748;500
455;MARCONI;VIA MARCONI FR 22;BOLOGNA;685972;930044;44,497996;11,338184;500
458;MILLE INDIPENDENZA;VIA DEI MILLE 5;BOLOGNA;686403;930439;44,501439;11,343743;500
459;PIAZZA DEI MARTIRI;VIA MARCONI 69/E;BOLOGNA;686068;930363;44,500841;11,339505;500
461;MILLE (PIAZZA DEI MARTIRI;VIA DEI MILLE 22/B;BOLOGNA;686180;930483;44,501892;11,340956;500
462;PIAZZA DEI MARTIRI;VIA MARCONI 34;BOLOGNA;686029;930297;44,500258;11,338991;500
463;MILLE;VIA DEI MILLE 12;BOLOGNA;686316;930445;44,501515;11,342652;500
465;MILLE (PIAZZA DEI MARTIRI;VIA DEI MILLE 20;BOLOGNA;686216;930469;44,501757;11,341404;500
466;MILLE;VIA DEI MILLE 19;BOLOGNA;686208;930487;44,501921;11,341309;500
467;MILAZZO;VIA MILAZZO 30 METRI PRIMA VIA GRAMSCI;BOLOGNA;686231;930633;44,503228;11,341651;500
469;AMENDOLA;VIA AMENDOLA 5;BOLOGNA;686141;930624;44,50317;11,340517;500
470;AMENDOLA;VIA AMENDOLA 2;BOLOGNA;686122;930607;44,503022;11,340272;500
471;STAZIONE CENTRALE;VIALE PIETRAMELLARA (PENSILINA L);BOLOGNA;686462;930813;44,504787;11,34462;500
472;STAZIONE CENTRALE;VIALE PIETRAMELLARA TRA 18/3 E P.C.16877;BOLOGNA;686167;930894;44,505592;11,340941;500
473;MILLE;VIA DEI MILLE 8/C;BOLOGNA;686367;930432;44,501385;11,343288;500
474;STAZIONE CENTRALE;VIALE PIETRAMELLARA FR 53 (PENSILINA K);BOLOGNA;686347;930854;44,505186;11,343189;500
475;PIAZZA XX SETTEMBRE;PIAZZA XX SETTEMBRE FR. 3/F;BOLOGNA;686438;930775;44,504452;11,344304;500
500;BOLOGNA AUTOSTAZIONE;VIALE MASINI 3;BOLOGNA;686640;930729;44,503986;11,346827;500
527;DON MINZONI - MAMBO;VIA DON MINZONI FR 17;BOLOGNA;685773;930590;44,502959;11,335879;500
598;PIAZZA ROOSEVELT;PIAZZA ROOSEVELT 4I;BOLOGNA;686183;929652;44,494416;11,340695;500
599;BATTISTI;VIA BATTISTI 14/A;BOLOGNA;686030;929656;44,494491;11,338773;500
600;PIAZZA ROOSEVELT;PIAZZA ROOSEVELT 4;BOLOGNA;686148;929658;44,494479;11,340257;500
601;UGO BASSI;VIA BASSI U. 21/L;BOLOGNA;685979;929783;44,495647;11,338178;500
602;UGO BASSI;VIA BASSI U. 6/D;BOLOGNA;686131;929745;44,495266;11,340075;500
604;UGO BASSI;VIA BASSI U. 10/I;BOLOGNA;686003;929764;44,49547;11,338473;500
605;LAME;VIA LAME 15;BOLOGNA;685871;929925;44,496952;11,336872;500
607;LAME;VIA LAME 25;BOLOGNA;685861;929947;44,497153;11,336754;500
609;RONDONE;VIA LAME 73;BOLOGNA;685699;930253;44,499947;11,334828;500
612;LAME;VIA MARCONI 6/A;BOLOGNA;685884;929873;44,496481;11,337016;500
613;RIVA RENO;VIA RIVA RENO 58/A;BOLOGNA;685673;930096;44,498541;11,334445;500
614;RONDONE;VIA LAME 100;BOLOGNA;685672;930276;44,500161;11,334497;500
615;PALASPORT;VIA RIVA RENO 4;BOLOGNA;685431;930051;44,498199;11,331387;500
616;SAN FELICE;VIA SAN FELICE 56/D;BOLOGNA;685487;929973;44,497483;11,332063;500
617;PORTA SAN FELICE;VIA SAN FELICE 161;BOLOGNA;685157;930139;44,49906;11,327975;500
619;LAME;VIA LAME 31;BOLOGNA;685843;929983;44,497481;11,336541;500
620;PORTA SAN FELICE;VIA SAN FELICE 134;BOLOGNA;685181;930113;44,49882;11,328267;500
621;LAME;VIA LAME 29C;BOLOGNA;685849;929968;44,497345;11,336611;500
622;MARCONI;VIA MARCONI 20;BOLOGNA;685950;930025;44,497831;11,3379;500
701;PIAZZA MALPIGHI;PIAZZA MALPIGHI 17;BOLOGNA;685834;929632;44,494326;11,336301;500
702;PIAZZA MALPIGHI;PIAZZA MALPIGHI 8/D;BOLOGNA;685844;929615;44,49417;11,336421;500
703;PIAZZA SAN FRANCESCO;PIAZZA S.FRANCESCO 12;BOLOGNA;685799;929732;44,495234;11,335897;500
704;PIAZZA MALPIGHI;PIAZZA MALPIGHI 14/E;BOLOGNA;685838;929563;44,493704;11,336327;500
705;SANT`ISAIA;VIA SANT`ISAIA 29/B;BOLOGNA;685515;929589;44,494021;11,332277;500
706;SANT`ISAIA;VIA SANT`ISAIA 44;BOLOGNA;685513;929580;44,493941;11,332249;500
707;SANT`ISAIA;VIA FRASSINAGO 3/E;BOLOGNA;685551;929527;44,493454;11,332707;500
709;PORTA SANT`ISAIA;VIA SANT`ISAIA 75/2;BOLOGNA;685287;929641;44,494547;11,32943;500
710;PORTA SANT`ISAIA;VIA SANT`ISAIA 106;BOLOGNA;685330;929624;44,494383;11,329965;500
711;PORTA SARAGOZZA - FRASSIN;PIAZZA DI PORTA SARAGOZZA PL 11;BOLOGNA;685407;929209;44,490631;11,330783;500
750;FARINI;VIA FARINI 3/I;BOLOGNA;686366;929314;44,491328;11,342873;500
752;URBANA;VIA URBANA 4;BOLOGNA;686195;929164;44,490023;11,34067;500
753;FARINI;VIA FARINI 2/F;BOLOGNA;686318;929320;44,491395;11,342272;500
754;COLLEGIO DI SPAGNA;VIA SARAGOZZA 6;BOLOGNA;685888;929183;44,490273;11,336819;500
755;COLLEGIO DI SPAGNA;VIA SARAGOZZA 1;BOLOGNA;685932;929204;44,490451;11,337379;500
756;NOSADELLA;VIA SARAGOZZA 34;BOLOGNA;685652;929146;44,490001;11,33384;500
758;D`AZEGLIO;VIA D`AZEGLIO 44;BOLOGNA;686248;929212;44,490441;11,341353;500
759;NOSADELLA;VIA SARAGOZZA 39/B;BOLOGNA;685678;929158;44,490102;11,334171;500
760;PORTA SARAGOZZA - FRASSIN;VIA SARAGOZZA 94;BOLOGNA;685426;929168;44,490257;11,331008;500
761;PORTA SARAGOZZA - FRASSIN;VIA SARAGOZZA 71/D;BOLOGNA;685442;929181;44,49037;11,331213;500
799;PIAZZA CAVOUR;PIAZZA CAVOUR 6;BOLOGNA;686428;929295;44,491142;11,343645;500
800;PIAZZA CAVOUR;PIAZZA CAVOUR 5/D;BOLOGNA;686429;929277;44,490979;11,343651;500
801;PIAZZA CAVOUR;PIAZZA CAVOUR 5;BOLOGNA;686430;929258;44,490808;11,343657;500
802;PIAZZA CAVOUR;PIAZZA CAVOUR 2;BOLOGNA;686473;929265;44,49086;11,3442;500
803;TRIBUNALE;PIAZZA TRIBUNALI P.L. 2;BOLOGNA;686441;928971;44,488224;11,343691;500
804;TRIBUNALE;VIALE XII GIUGNO 2;BOLOGNA;686486;928941;44,487942;11,344246;500
805;XII GIUGNO;VIALE XII GIUGNO 15/2;BOLOGNA;686710;928704;44,485753;11,346975;500
806;XII GIUGNO;VIALE XII GIUGNO 16;BOLOGNA;686613;928769;44,486362;11,34578;500
807;PIAZZA CAVOUR;PIAZZA CAVOUR 4;BOLOGNA;686452;929242;44,490659;11,343927;500
809;PIAZZA CAVOUR;PIAZZA CAVOUR 4;BOLOGNA;686466;929241;44,490646;11,344103;500
811;PIAZZA CAVOUR;PIAZZA CAVOUR 2;BOLOGNA;686472;929285;44,49104;11,344194;500
851;TAGLIAPIETRE;VIA TAGLIAPIETRE FR. CIV. 4;BOLOGNA;686142;929279;44,491071;11,340045;500
855;SAN LUIGI PORTA SAN MAMOL;VIA D`AZEGLIO 57;BOLOGNA;686119;928936;44,487992;11,339633;500
856;SAN LUIGI PORTA SAN MAMOL;VIA D`AZEGLIO 92;BOLOGNA;686127;928850;44,487216;11,339702;500
897;PIAZZA MINGHETTI;VIA FARINI 13;BOLOGNA;686569;929335;44,491465;11,345431;500
902;PIAZZA MINGHETTI;VIA FARINI FR 13/B;BOLOGNA;686592;929347;44,491567;11,345724;500
903;PIAZZA MINGHETTI;VIA FARINI 23;BOLOGNA;686709;929337;44,491447;11,347191;500
904;PIAZZA MINGHETTI;VIA FARINI FR 11/D;BOLOGNA;686550;929346;44,491569;11,345196;500
905;GARGANELLI;VIA SANTO STEFANO 43;BOLOGNA;686976;929156;44,48975;11,350481;500
906;GARGANELLI;VIA SANTO STEFANO 44;BOLOGNA;687000;929145;44,489644;11,350779;500
909;FONDAZZA;VIA DANTE 1/D;BOLOGNA;687260;928850;44,486924;11,353939;500
910;FONDAZZA;VIA DANTE 2/C;BOLOGNA;687267;928869;44,487093;11,354034;500
911;BARACCANO;VIA SANTO STEFANO FR 158;BOLOGNA;687344;928697;44,485526;11,354939;500
912;BARACCANO;VIA SANTO STEFANO 136;BOLOGNA;687305;928751;44,486021;11,354469;500
951;CARTOLERIA;VIA CARTOLERIA FR 16;BOLOGNA;686878;929160;44,489811;11,349251;500
952;GARGANELLI;VIA RIALTO 4/A;BOLOGNA;686914;929118;44,489424;11,349688;500
953;CESTELLO;VIA CASTIGLIONE 49/A;BOLOGNA;686775;928946;44,487913;11,347879;500
954;RIALTO;VIA RIALTO 46;BOLOGNA;686842;928903;44,487509;11,348706;500
1002;PORTA MAGGIORE;VIA MAZZINI 2/2;BOLOGNA;687589;929189;44,489888;11,358196;500
1003;PORTA MAGGIORE;VIA MAZZINI 3;BOLOGNA;687598;929165;44,489669;11,3583;500
1004;ALBERTONI;VIA MAZZINI 96;BOLOGNA;688007;928972;44,487827;11,36337;500
1005;ALBERTONI;VIA MAZZINI 49;BOLOGNA;687970;928980;44,487909;11,362908;500
1006;ALEMANNI;VIA MAZZINI 140;BOLOGNA;688281;928839;44,486559;11,366764;500
1008;ALBERTONI;VIA MAZZINI 82/E;BOLOGNA;687864;929048;44,488548;11,3616;500
1009;ALEMANNI;VIA MAZZINI 65;BOLOGNA;688145;928897;44,487117;11,365077;500
1010;LAURA BASSI;VIA MAZZINI 154;BOLOGNA;688583;928694;44,485176;11,370506;500
1011;LAURA BASSI;VIA MAZZINI 95;BOLOGNA;688494;928729;44,485514;11,369401;500
1012;FERMI;VIA EMILIA LEVANTE 6/5;BOLOGNA;688846;928564;44,483938;11,373763;500
1013;FERMI;VIA MAZZINI 117/D;BOLOGNA;688724;928612;44,484402;11,372248;500
1018;MAZZINI STAZIONE;VIA EMILIA LEVANTE FR 21/A;BOLOGNA;689024;928467;44,483019;11,375964;500
1019;MAZZINI STAZIONE;VIA EMILIA LEVANTE FR 22/B;BOLOGNA;689071;928438;44,482746;11,376544;500
1020;PONTEVECCHIO;VIA EMILIA LEVANTE 92;BOLOGNA;689274;928348;44,481883;11,379062;500
1021;PONTEVECCHIO;VIA EMILIA LEVANTE 63/H;BOLOGNA;689387;928301;44,481431;11,380465;500
1022;VILLA PARADISO;VIA EMILIA LEVANTE FR 81/G;BOLOGNA;689478;928264;44,481074;11,381594;500
1025;VILLA LAURA;VIA EMILIA LEVANTE FR 158/2;BOLOGNA;689775;928079;44,479332;11,385258;500
1026;VILLA LAURA;VIA EMILIA LEVANTE 164;BOLOGNA;689832;928067;44,47921;11,38597;500
1027;ARNO;VIA DOZZA 1;BOLOGNA;690254;927852;44,477165;11,391193;500
1028;ARNO;VIA EMILIA LEVANTE 194/14;BOLOGNA;690142;927922;44,477824;11,389811;500
1031;EMILIA CALABRIA;VIA EMILIA LEVANTE 137/8;BOLOGNA;689992;927978;44,478367;11,387947;500
1033;VILLAGGIO DUE MADONNE;VIA DOZZA 19/B;BOLOGNA;690576;927687;44,475596;11,395177;500
1034;VILLAGGIO DUE MADONNE;VIA DOZZA FR 19/B;BOLOGNA;690586;927701;44,475719;11,395308;500
1035;PARCO DEI CEDRI;VIA DOZZA 33;BOLOGNA;690852;927550;44,474291;11,398594;500
1036;PARCO DEI CEDRI;VIA DOZZA CIMITERO INGLESE;BOLOGNA;690857;927560;44,474379;11,39866;500
1037;SAN LAZZARO FIUME SAVENA;VIA EMILIA 6;SAN LAZZARO DI SAVENA;691213;927377;44,472639;11,403065;501
1038;SAN LAZZARO FIUME SAVENA;VIA EMILIA 5;SAN LAZZARO DI SAVENA;691236;927370;44,47257;11,403351;501
1041;SAN LAZZARO VILLA RODRIGU;VIA EMILIA 50;SAN LAZZARO DI SAVENA;691456;927259;44,471513;11,406074;501
1042;SAN LAZZARO VILLA RODRIGU;VIA EMILIA 43;SAN LAZZARO DI SAVENA;691416;927284;44,471749;11,405581;501
1043;SAN LAZZARO MUNICIPIO;VIA EMILIA 94;SAN LAZZARO DI SAVENA;691619;927176;44,470724;11,408091;501
1044;SAN LAZZARO MUNICIPIO;VIA EMILIA 165;SAN LAZZARO DI SAVENA;691654;927164;44,470607;11,408526;501
1045;SAN LAZZARO JUSSI;VIA EMILIA 200;SAN LAZZARO DI SAVENA;692014;926976;44,46882;11,412978;501
1047;SAN LAZZARO MODENA;VIA MODENA 20 METRI PRIMA INTERSEZIONE C;SAN LAZZARO DI SAVENA;691489;926736;44,4668;11,406295;501
1050;SAN LAZZARO MODENA;VIA JUSSI 51;SAN LAZZARO DI SAVENA;691588;926589;44,465452;11,407484;501
1052;SAN LAZZARO MARZABOTTO;VIA MARZABOTTO FR 18;SAN LAZZARO DI SAVENA;691608;926378;44,463549;11,407657;501
1053;SAN LAZZARO DI VITTORIO;VIA KENNEDY 16;SAN LAZZARO DI SAVENA;691984;926770;44,466975;11,412525;501
1054;SAN LAZZARO PERTINI;VIA KENNEDY INTERNO RACCHETTA;SAN LAZZARO DI SAVENA;691718;925841;44,458689;11,40884;501
1055;SAN LAZZARO WOOLF;VIA WOOLF 4;SAN LAZZARO DI SAVENA;691949;926071;44,460697;11,411827;501
1057;SAN LAZZARO PISCINA KENNE;VIA KENNEDY P.L. 67/65;SAN LAZZARO DI SAVENA;691773;926232;44,462192;11,409676;501
1059;SAN LAZZARO KENNEDY;VIA KENNEDY P.L. 47/45;SAN LAZZARO DI SAVENA;691792;926424;44,463914;11,409985;501
1060;SAN LAZZARO DI VITTORIO;VIA KENNEDY FR 8;SAN LAZZARO DI SAVENA;692070;926893;44,468059;11,413651;501
1061;SAN LAZZARO KENNEDY;VIA KENNEDY 35 METRI DOPO VIA GIOVANNI X;SAN LAZZARO DI SAVENA;691811;926476;44,464376;11,410243;501
1062;SAN LAZZARO KENNEDY;VIA KENNEDY 35 METRI PRIMA VIA GIOVANNI;SAN LAZZARO DI SAVENA;691820;926471;44,464329;11,410355;501
1063;SAN LAZZARO PISCINA KENNE;VIA KENNEDY 35 METRI DOPO VIA PIAVE;SAN LAZZARO DI SAVENA;691739;926273;44,46257;11,409264;501
1064;SAN LAZZARO PISCINA KENNE;VIA KENNEDY 35 METRI PRIMA VIA PIAVE;SAN LAZZARO DI SAVENA;691747;926280;44,46263;11,409367;501
1065;SAN LAZZARO KENNEDY - SCO;VIA KENNEDY 25 METRI PRIMA VIA SCORNETTA;SAN LAZZARO DI SAVENA;691740;926031;44,460393;11,409187;501
1066;SAN LAZZARO KENNEDY - SCO;VIA KENNEDY 25 METRI DOPO VIA SCORNETTA;SAN LAZZARO DI SAVENA;691743;926038;44,460455;11,409227;501
1101;BITONE;VIA BELLARIA 17;BOLOGNA;689741;927952;44,478199;11,384784;500
1102;BITONE;VIA BELLARIA 2;BOLOGNA;689653;928127;44,479796;11,383743;500
1103;SARDEGNA;VIA SARDEGNA 5/A;BOLOGNA;689647;927719;44,476128;11,383518;500
1104;LOMBARDIA;VIA LOMBARDIA 16;BOLOGNA;689747;927847;44,477253;11,384821;500
1105;CALABRIA;VIA CALABRIA 49;BOLOGNA;689571;927532;44,474466;11,382495;500
1106;SARDEGNA;VIA SARDEGNA 8;BOLOGNA;689686;927677;44,47574;11,383993;500
1109;MILANO;VIA MILANO 9;BOLOGNA;689486;927383;44,473148;11,381372;500
1110;CALABRIA;VIA CALABRIA 42;BOLOGNA;689601;927546;44,474584;11,382877;500
1111;CHIESA SAN LORENZO;VIA MAZZONI P.L. 12;BOLOGNA;689598;927265;44,472057;11,382736;500
1112;CHIESA SAN LORENZO;VIA MAZZONI FR P.L. 16;BOLOGNA;689511;927324;44,472611;11,381665;500
1114;MAZZONI;VIA MAZZONI FR 2;BOLOGNA;689830;927214;44,471537;11,385632;500
1117;MAZZONI;VIA MAZZONI 2;BOLOGNA;689804;927207;44,471481;11,385303;500
1118;FIRENZE;VIA FIRENZE 18;BOLOGNA;689835;927039;44,469962;11,38563;500
1119;FIRENZE;VIA FIRENZE 7;BOLOGNA;689842;927129;44,47077;11,385751;500
1120;LONGO CAVAZZONI;VIA LONGO FR INTERSEZIONE VIA BEZZECCA;BOLOGNA;689808;926843;44,468206;11,385219;500
1121;LONGO CAVAZZONI;VIA LONGO 20 MT PRIMA INTERSEZIONE VIA B;BOLOGNA;689794;926863;44,46839;11,385051;500
